"Date","Time","Nitrogen_Oxides_as_Nitrogen_Dioxide","Status_3","Unit_3"
"20-12-2018","01:00",24.8307,"R","ugm-3"
"20-12-2018","02:00",23.03825,"R","ugm-3"
"20-12-2018","03:00",12.75802,"R","ugm-3"
"20-12-2018","04:00",16.44836,"R","ugm-3"
"20-12-2018","05:00",15.07766,"R","ugm-3"
"20-12-2018","06:00",23.09097,"R","ugm-3"
"20-12-2018","07:00",65.26625,"R","ugm-3"
"20-12-2018","08:00",61.2596,"R","ugm-3"
"20-12-2018","09:00",85.66855,"R","ugm-3"
"20-12-2018","10:00",66.95327,"R","ugm-3"
"20-12-2018","11:00",59.11569,"R","ugm-3"
"20-12-2018","12:00",55.67138,"R","ugm-3"
"20-12-2018","13:00",63.84284,"R","ugm-3"
"20-12-2018","14:00",68.16581,"R","ugm-3"
"20-12-2018","15:00",65.26625,"R","ugm-3"
"20-12-2018","16:00",83.34891,"R","ugm-3"
"20-12-2018","17:00",76.60086,"R","ugm-3"
"20-12-2018","18:00",92.153,"R","ugm-3"
"20-12-2018","19:00",91.30949,"R","ugm-3"
"20-12-2018","20:00",66.42608,"R","ugm-3"
"20-12-2018","21:00",61.41776,"R","ugm-3"
"20-12-2018","22:00",43.33511,"R","ugm-3"
"20-12-2018","23:00",37.37785,"R","ugm-3"
"20-12-2018","24:00",31.68418,"R","ugm-3"
"03-01-2019","01:00",29.78896,"R","ugm-3"
"03-01-2019","02:00",15.07967,"R","ugm-3"
"03-01-2019","03:00",17.24902,"R","ugm-3"
"03-01-2019","04:00",14.23309,"R","ugm-3"
"03-01-2019","05:00",13.8098,"R","ugm-3"
"03-01-2019","06:00",19.47129,"R","ugm-3"
"03-01-2019","07:00",51.27087,"R","ugm-3"
"03-01-2019","08:00",53.17567,"R","ugm-3"
"03-01-2019","09:00",65.66269,"R","ugm-3"
"03-01-2019","10:00",96.72151,"R","ugm-3"
"03-01-2019","11:00",40.37118,"R","ugm-3"
"03-01-2019","12:00",34.44513,"R","ugm-3"
"03-01-2019","13:00",39.57751,"R","ugm-3"
"03-01-2019","14:00",39.57751,"R","ugm-3"
"03-01-2019","15:00",41.37649,"R","ugm-3"
"03-01-2019","16:00",70.10722,"R","ugm-3"
"03-01-2019","17:00",73.44062,"R","ugm-3"
"03-01-2019","18:00",53.28149,"R","ugm-3"
"03-01-2019","19:00",48.5724,"R","ugm-3"
"03-01-2019","20:00",83.38791,"R","ugm-3"
"03-01-2019","21:00",91.16585,"R","ugm-3"
"03-01-2019","22:00",81.11273,"R","ugm-3"
"03-01-2019","23:00",84.71069,"R","ugm-3"
"03-01-2019","24:00",62.43511,"R","ugm-3"
"19-03-2020","01:00",18.31802,"R","ugm-3"
"19-03-2020","02:00",19.75412,"R","ugm-3"
"19-03-2020","03:00",9.57124,"R","ugm-3"
"19-03-2020","04:00",6.9205,"R","ugm-3"
"19-03-2020","05:00",13.81824,"R","ugm-3"
"19-03-2020","06:00",23.79507,"R","ugm-3"
"19-03-2020","07:00",42.97486,"R","ugm-3"
"19-03-2020","08:00",60.3464,"R","ugm-3"
"19-03-2020","09:00",24.56715,"R","ugm-3"
"19-03-2020","10:00",27.35344,"R","ugm-3"
"19-03-2020","11:00",17.34236,"R","ugm-3"
"19-03-2020","12:00",13.52922,"R","ugm-3"
"19-03-2020","13:00",18.68043,"R","ugm-3"
"19-03-2020","14:00",51.38491,"R","ugm-3"
"19-03-2020","15:00",45.75854,"R","ugm-3"
"19-03-2020","16:00",38.85385,"R","ugm-3"
"19-03-2020","17:00",45.06809,"R","ugm-3"
"19-03-2020","18:00",45.2915,"R","ugm-3"
"19-03-2020","19:00",52.17904,"R","ugm-3"
"19-03-2020","20:00",24.97829,"R","ugm-3"
"19-03-2020","21:00",14.87533,"R","ugm-3"
"19-03-2020","22:00",12.66273,"R","ugm-3"
"19-03-2020","23:00",11.29209,"R","ugm-3"
"19-03-2020","24:00",8.19894,"R","ugm-3"
"26-03-2020","01:00",30.24835,"R","ugm-3"
"26-03-2020","02:00",25.67279,"R","ugm-3"
"26-03-2020","03:00",25.17101,"R","ugm-3"
"26-03-2020","04:00",22.78393,"R","ugm-3"
"26-03-2020","05:00",26.98552,"R","ugm-3"
"26-03-2020","06:00",34.83467,"R","ugm-3"
"26-03-2020","07:00",52.66775,"R","ugm-3"
"26-03-2020","08:00",44.06056,"R","ugm-3"
"26-03-2020","09:00",41.74437,"R","ugm-3"
"26-03-2020","10:00",37.75654,"R","ugm-3"
"26-03-2020","11:00",NA,"R","ugm-3"
"26-03-2020","12:00",24.01903,"R","ugm-3"
"26-03-2020","13:00",19.42832,"R","ugm-3"
"26-03-2020","14:00",16.64137,"R","ugm-3"
"26-03-2020","15:00",17.56104,"R","ugm-3"
"26-03-2020","16:00",13.91317,"R","ugm-3"
"26-03-2020","17:00",16.46515,"R","ugm-3"
"26-03-2020","18:00",19.07806,"R","ugm-3"
