"Date","Time","PM10","Status","Unit"
"20-12-2018","01:00",5.797,"R","ugm-3 (Ref.eq)"
"20-12-2018","02:00",14.493,"R","ugm-3 (Ref.eq)"
"20-12-2018","03:00",17.392,"R","ugm-3 (Ref.eq)"
"20-12-2018","04:00",13.527,"R","ugm-3 (Ref.eq)"
"20-12-2018","05:00",21.256,"R","ugm-3 (Ref.eq)"
"20-12-2018","06:00",14.493,"R","ugm-3 (Ref.eq)"
"20-12-2018","07:00",17.392,"R","ugm-3 (Ref.eq)"
"20-12-2018","08:00",21.256,"R","ugm-3 (Ref.eq)"
"20-12-2018","09:00",19.324,"R","ugm-3 (Ref.eq)"
"20-12-2018","10:00",24.155,"R","ugm-3 (Ref.eq)"
"20-12-2018","11:00",NA,"R","ugm-3 (Ref.eq)"
"20-12-2018","12:00",15.459,"R","ugm-3 (Ref.eq)"
"20-12-2018","13:00",22.223,"R","ugm-3 (Ref.eq)"
"20-12-2018","14:00",26.087,"R","ugm-3 (Ref.eq)"
"20-12-2018","15:00",28.02,"R","ugm-3 (Ref.eq)"
"20-12-2018","16:00",18.358,"R","ugm-3 (Ref.eq)"
"20-12-2018","17:00",21.256,"R","ugm-3 (Ref.eq)"
"20-12-2018","18:00",27.054,"R","ugm-3 (Ref.eq)"
"20-12-2018","19:00",26.087,"R","ugm-3 (Ref.eq)"
"20-12-2018","20:00",15.459,"R","ugm-3 (Ref.eq)"
"20-12-2018","21:00",16.425,"R","ugm-3 (Ref.eq)"
"20-12-2018","22:00",7.73,"R","ugm-3 (Ref.eq)"
"20-12-2018","23:00",4.831,"R","ugm-3 (Ref.eq)"
"20-12-2018","24:00",2.899,"R","ugm-3 (Ref.eq)"
"03-01-2019","01:00",15.459,"R","ugm-3 (Ref.eq)"
"03-01-2019","02:00",13.527,"R","ugm-3 (Ref.eq)"
"03-01-2019","03:00",12.561,"R","ugm-3 (Ref.eq)"
"03-01-2019","04:00",12.561,"R","ugm-3 (Ref.eq)"
"03-01-2019","05:00",11.594,"R","ugm-3 (Ref.eq)"
"03-01-2019","06:00",11.594,"R","ugm-3 (Ref.eq)"
"03-01-2019","07:00",19.324,"R","ugm-3 (Ref.eq)"
"03-01-2019","08:00",15.459,"R","ugm-3 (Ref.eq)"
"03-01-2019","09:00",14.493,"R","ugm-3 (Ref.eq)"
"03-01-2019","10:00",19.324,"R","ugm-3 (Ref.eq)"
"03-01-2019","11:00",16.425,"R","ugm-3 (Ref.eq)"
"03-01-2019","12:00",14.493,"R","ugm-3 (Ref.eq)"
"03-01-2019","13:00",15.459,"R","ugm-3 (Ref.eq)"
"03-01-2019","14:00",18.358,"R","ugm-3 (Ref.eq)"
"03-01-2019","15:00",19.324,"R","ugm-3 (Ref.eq)"
"03-01-2019","16:00",16.425,"R","ugm-3 (Ref.eq)"
"03-01-2019","17:00",22.223,"R","ugm-3 (Ref.eq)"
"03-01-2019","18:00",19.324,"R","ugm-3 (Ref.eq)"
"03-01-2019","19:00",20.29,"R","ugm-3 (Ref.eq)"
"03-01-2019","20:00",38.648,"R","ugm-3 (Ref.eq)"
"03-01-2019","21:00",30.918,"R","ugm-3 (Ref.eq)"
"03-01-2019","22:00",34.783,"R","ugm-3 (Ref.eq)"
"03-01-2019","23:00",29.952,"R","ugm-3 (Ref.eq)"
"03-01-2019","24:00",23.189,"R","ugm-3 (Ref.eq)"
"19-03-2020","01:00",10.628,"R","ugm-3 (Ref.eq)"
"19-03-2020","02:00",13.527,"R","ugm-3 (Ref.eq)"
"19-03-2020","03:00",9.662,"R","ugm-3 (Ref.eq)"
"19-03-2020","04:00",11.594,"R","ugm-3 (Ref.eq)"
