"Date","Time","Nitric_Oxide","Status_1","Unit_1"
"20-12-2018","01:00",4.67899,"R","ugm-3"
"20-12-2018","02:00",5.34243,"R","ugm-3"
"20-12-2018","03:00",1.81573,"R","ugm-3"
"20-12-2018","04:00",1.01262,"R","ugm-3"
"20-12-2018","05:00",3.00294,"R","ugm-3"
"20-12-2018","06:00",3.07277,"R","ugm-3"
"20-12-2018","07:00",16.69073,"R","ugm-3"
"20-12-2018","08:00",17.00499,"R","ugm-3"
"20-12-2018","09:00",24.72183,"R","ugm-3"
"20-12-2018","10:00",20.77611,"R","ugm-3"
"20-12-2018","11:00",17.0399,"R","ugm-3"
"20-12-2018","12:00",18.15728,"R","ugm-3"
"20-12-2018","13:00",20.9507,"R","ugm-3"
"20-12-2018","14:00",20.53169,"R","ugm-3"
"20-12-2018","15:00",20.9507,"R","ugm-3"
"20-12-2018","16:00",23.39495,"R","ugm-3"
"20-12-2018","17:00",24.16314,"R","ugm-3"
"20-12-2018","18:00",27.51526,"R","ugm-3"
"20-12-2018","19:00",29.08656,"R","ugm-3"
"20-12-2018","20:00",18.15728,"R","ugm-3"
"20-12-2018","21:00",13.40845,"R","ugm-3"
"20-12-2018","22:00",6.38996,"R","ugm-3"
"20-12-2018","23:00",9.07864,"R","ugm-3"
"20-12-2018","24:00",7.08832,"R","ugm-3"
"03-01-2019","01:00",1.08658,"R","ugm-3"
"03-01-2019","02:00",0.42061,"R","ugm-3"
"03-01-2019","03:00",0.73607,"R","ugm-3"
"03-01-2019","04:00",0.66597,"R","ugm-3"
"03-01-2019","05:00",1.01648,"R","ugm-3"
"03-01-2019","06:00",1.26183,"R","ugm-3"
"03-01-2019","07:00",8.76272,"R","ugm-3"
"03-01-2019","08:00",8.76272,"R","ugm-3"
"03-01-2019","09:00",10.37506,"R","ugm-3"
"03-01-2019","10:00",21.24083,"R","ugm-3"
"03-01-2019","11:00",9.81424,"R","ugm-3"
"03-01-2019","12:00",6.44936,"R","ugm-3"
"03-01-2019","13:00",8.58746,"R","ugm-3"
"03-01-2019","14:00",6.0638,"R","ugm-3"
"03-01-2019","15:00",4.62672,"R","ugm-3"
"03-01-2019","16:00",15.38733,"R","ugm-3"
"03-01-2019","17:00",13.77499,"R","ugm-3"
"03-01-2019","18:00",11.46163,"R","ugm-3"
"03-01-2019","19:00",5.15248,"R","ugm-3"
"03-01-2019","20:00",8.58746,"R","ugm-3"
"03-01-2019","21:00",10.83072,"R","ugm-3"
"03-01-2019","22:00",9.32353,"R","ugm-3"
"03-01-2019","23:00",12.82862,"R","ugm-3"
"03-01-2019","24:00",7.50089,"R","ugm-3"
"19-03-2020","01:00",1.54048,"R","ugm-3"
"19-03-2020","02:00",1.84002,"R","ugm-3"
"19-03-2020","03:00",0.64187,"R","ugm-3"
"19-03-2020","04:00",0.4814,"R","ugm-3"
"19-03-2020","05:00",2.15025,"R","ugm-3"
"19-03-2020","06:00",4.71772,"R","ugm-3"
"19-03-2020","07:00",9.21079,"R","ugm-3"
"19-03-2020","08:00",15.72573,"R","ugm-3"
"19-03-2020","09:00",2.95259,"R","ugm-3"
"19-03-2020","10:00",3.75492,"R","ugm-3"
"19-03-2020","11:00",2.95259,"R","ugm-3"
"19-03-2020","12:00",1.89351,"R","ugm-3"
"19-03-2020","13:00",2.407,"R","ugm-3"
"19-03-2020","14:00",11.61779,"R","ugm-3"
"19-03-2020","15:00",7.76659,"R","ugm-3"
"19-03-2020","16:00",6.45076,"R","ugm-3"
"19-03-2020","17:00",7.92705,"R","ugm-3"
"19-03-2020","18:00",6.57913,"R","ugm-3"
"19-03-2020","19:00",8.82567,"R","ugm-3"
"19-03-2020","20:00",2.18235,"R","ugm-3"
"19-03-2020","21:00",0.99489,"R","ugm-3"
"19-03-2020","22:00",1.02699,"R","ugm-3"
"19-03-2020","23:00",0.73815,"R","ugm-3"
"19-03-2020","24:00",0.54559,"R","ugm-3"
"26-03-2020","01:00",0.4287,"R","ugm-3"
"26-03-2020","02:00",0.77167,"R","ugm-3"
"26-03-2020","03:00",1.25396,"R","ugm-3"
"26-03-2020","04:00",0.38583,"R","ugm-3"
"26-03-2020","05:00",1.41472,"R","ugm-3"
"26-03-2020","06:00",1.89701,"R","ugm-3"
"26-03-2020","07:00",6.20548,"R","ugm-3"
"26-03-2020","08:00",6.68777,"R","ugm-3"
"26-03-2020","09:00",9.19569,"R","ugm-3"
"26-03-2020","10:00",7.42729,"R","ugm-3"
"26-03-2020","11:00",5.96434,"R","ugm-3"
"26-03-2020","12:00",4.50139,"R","ugm-3"
"26-03-2020","13:00",3.31173,"R","ugm-3"
"26-03-2020","14:00",2.73298,"R","ugm-3"
"26-03-2020","15:00",3.34389,"R","ugm-3"
"26-03-2020","16:00",1.73625,"R","ugm-3"
"26-03-2020","17:00",1.86486,"R","ugm-3"
"26-03-2020","18:00",1.47903,"R","ugm-3"
"26-03-2020","19:00",0.83597,"R","ugm-3"
"26-03-2020","20:00",0.41799,"R","ugm-3"
"26-03-2020","21:00",0.22507,"R","ugm-3"
"26-03-2020","22:00",0.70736,"R","ugm-3"
"26-03-2020","23:00",0.6109,"R","ugm-3"
"26-03-2020","24:00",0.41799,"R","ugm-3"
"29-06-2020","01:00",1.19306,"R","ugm-3"
"29-06-2020","02:00",0.83956,"R","ugm-3"
"29-06-2020","03:00",0.69595,"R","ugm-3"
"29-06-2020","04:00",0.66281,"R","ugm-3"
"29-06-2020","05:00",1.59074,"R","ugm-3"
"29-06-2020","06:00",4.73909,"R","ugm-3"
"29-06-2020","07:00",7.39032,"R","ugm-3"
"29-06-2020","08:00",8.81536,"R","ugm-3"
"29-06-2020","09:00",6.26355,"R","ugm-3"
"29-06-2020","10:00",7.75487,"R","ugm-3"
"29-06-2020","11:00",8.38454,"R","ugm-3"
"29-06-2020","12:00",6.29669,"R","ugm-3"
"29-06-2020","13:00",7.1252,"R","ugm-3"
"29-06-2020","14:00",7.78801,"R","ugm-3"
"29-06-2020","15:00",8.98107,"R","ugm-3"
"29-06-2020","16:00",8.98107,"R","ugm-3"
"29-06-2020","17:00",7.32404,"R","ugm-3"
"29-06-2020","18:00",6.19727,"R","ugm-3"
"29-06-2020","19:00",3.71173,"R","ugm-3"
"29-06-2020","20:00",3.47975,"R","ugm-3"
"29-06-2020","21:00",3.77801,"R","ugm-3"
"29-06-2020","22:00",1.75644,"R","ugm-3"
"29-06-2020","23:00",1.69016,"R","ugm-3"
"29-06-2020","24:00",0.79537,"R","ugm-3"
"10-11-2020","01:00",2.79867,"R","ugm-3"
"10-11-2020","02:00",0.50885,"R","ugm-3"
"10-11-2020","03:00",1.43114,"R","ugm-3"
"10-11-2020","04:00",0.57246,"R","ugm-3"
"10-11-2020","05:00",0.73147,"R","ugm-3"
"10-11-2020","06:00",2.70326,"R","ugm-3"
"10-11-2020","07:00",22.83458,"R","ugm-3"
"10-11-2020","08:00",53.01566,"R","ugm-3"
"10-11-2020","09:00",39.7856,"R","ugm-3"
"10-11-2020","10:00",15.51988,"R","ugm-3"
"10-11-2020","11:00",9.09567,"R","ugm-3"
"10-11-2020","12:00",6.77405,"R","ugm-3"
"10-11-2020","13:00",13.89793,"R","ugm-3"
"10-11-2020","14:00",13.5799,"R","ugm-3"
"10-11-2020","15:00",10.55861,"R","ugm-3"
"10-11-2020","16:00",14.27956,"R","ugm-3"
"10-11-2020","17:00",34.06105,"R","ugm-3"
"10-11-2020","18:00",31.51681,"R","ugm-3"
"10-11-2020","19:00",21.62606,"R","ugm-3"
"10-11-2020","20:00",9.31829,"R","ugm-3"
"10-11-2020","21:00",5.78815,"R","ugm-3"
"10-11-2020","22:00",8.07797,"R","ugm-3"
"10-11-2020","23:00",2.51244,"R","ugm-3"
"10-11-2020","24:00",2.0672,"R","ugm-3"
"20-12-2020","01:00",1.65191,"R","ugm-3"
"20-12-2020","02:00",0.88949,"R","ugm-3"
"20-12-2020","03:00",0.73065,"R","ugm-3"
"20-12-2020","04:00",0.47651,"R","ugm-3"
"20-12-2020","05:00",0.50828,"R","ugm-3"
"20-12-2020","06:00",0.63535,"R","ugm-3"
"20-12-2020","07:00",1.77898,"R","ugm-3"
"20-12-2020","08:00",3.11321,"R","ugm-3"
"20-12-2020","09:00",5.33693,"R","ugm-3"
"20-12-2020","10:00",8.54544,"R","ugm-3"
"20-12-2020","11:00",6.41702,"R","ugm-3"
"20-12-2020","12:00",7.84656,"R","ugm-3"
"20-12-2020","13:00",7.97363,"R","ugm-3"
"20-12-2020","14:00",7.62418,"R","ugm-3"
"20-12-2020","15:00",7.43358,"R","ugm-3"
"20-12-2020","16:00",8.70428,"R","ugm-3"
"20-12-2020","17:00",6.44879,"R","ugm-3"
"20-12-2020","18:00",11.75395,"R","ugm-3"
"20-12-2020","19:00",5.01926,"R","ugm-3"
"20-12-2020","20:00",7.33828,"R","ugm-3"
"20-12-2020","21:00",5.49577,"R","ugm-3"
"20-12-2020","22:00",2.50963,"R","ugm-3"
"20-12-2020","23:00",0.41298,"R","ugm-3"
"20-12-2020","24:00",0.38121,"R","ugm-3"
"03-01-2021","01:00",1.57326,"R","ugm-3"
"03-01-2021","02:00",1.06301,"R","ugm-3"
"03-01-2021","03:00",1.69019,"R","ugm-3"
"03-01-2021","04:00",0.79726,"R","ugm-3"
"03-01-2021","05:00",0.57403,"R","ugm-3"
"03-01-2021","06:00",0.3189,"R","ugm-3"
"03-01-2021","07:00",2.55123,"R","ugm-3"
"03-01-2021","08:00",1.02049,"R","ugm-3"
"03-01-2021","09:00",2.35989,"R","ugm-3"
"03-01-2021","10:00",4.43276,"R","ugm-3"
"03-01-2021","11:00",5.19813,"R","ugm-3"
"03-01-2021","12:00",5.58081,"R","ugm-3"
"03-01-2021","13:00",4.75166,"R","ugm-3"
"03-01-2021","14:00",6.44185,"R","ugm-3"
"03-01-2021","15:00",4.59221,"R","ugm-3"
"03-01-2021","16:00",5.10246,"R","ugm-3"
"03-01-2021","17:00",13.36206,"R","ugm-3"
"03-01-2021","18:00",8.29149,"R","ugm-3"
"03-01-2021","19:00",3.79495,"R","ugm-3"
"03-01-2021","20:00",1.49885,"R","ugm-3"
"03-01-2021","21:00",1.43507,"R","ugm-3"
"03-01-2021","22:00",2.90202,"R","ugm-3"
"03-01-2021","23:00",0.82915,"R","ugm-3"
"03-01-2021","24:00",1.53074,"R","ugm-3"
"29-11-2021","01:00",1.3693,"R","ugm-3"
"29-11-2021","02:00",1.28095,"R","ugm-3"
"29-11-2021","03:00",0.76195,"R","ugm-3"
"29-11-2021","04:00",0.96072,"R","ugm-3"
"29-11-2021","05:00",1.15948,"R","ugm-3"
"29-11-2021","06:00",2.71651,"R","ugm-3"
"29-11-2021","07:00",15.20581,"R","ugm-3"
"29-11-2021","08:00",21.26825,"R","ugm-3"
"29-11-2021","09:00",36.44093,"R","ugm-3"
"29-11-2021","10:00",24.18353,"R","ugm-3"
"29-11-2021","11:00",29.02023,"R","ugm-3"
"29-11-2021","12:00",36.70596,"R","ugm-3"
"29-11-2021","13:00",29.85948,"R","ugm-3"
"29-11-2021","14:00",49.89095,"R","ugm-3"
"29-11-2021","15:00",42.00646,"R","ugm-3"
"29-11-2021","16:00",63.80476,"R","ugm-3"
"29-11-2021","17:00",53.8332,"R","ugm-3"
"29-11-2021","18:00",64.83173,"R","ugm-3"
"29-11-2021","19:00",54.6614,"R","ugm-3"
"29-11-2021","20:00",30.08033,"R","ugm-3"
"29-11-2021","21:00",26.73439,"R","ugm-3"
"29-11-2021","22:00",9.70654,"R","ugm-3"
"29-11-2021","23:00",7.08942,"R","ugm-3"
"29-11-2021","24:00",4.60481,"R","ugm-3"
"25-07-2022","01:00",1.05693,"R","ugm-3"
"25-07-2022","02:00",1.58539,"R","ugm-3"
"25-07-2022","03:00",0.72928,"R","ugm-3"
"25-07-2022","04:00",1.52197,"R","ugm-3"
"25-07-2022","05:00",2.15613,"R","ugm-3"
"25-07-2022","06:00",4.53421,"R","ugm-3"
"25-07-2022","07:00",10.81235,"R","ugm-3"
"25-07-2022","08:00",9.63916,"R","ugm-3"
"25-07-2022","09:00",8.90988,"R","ugm-3"
