"Year","Pollutants","Average"
2018,"PM10",19.3547472205968
2018,"NO",14.7513320833333
2018,"NO2",31.1360583333333
2018,"NOx_NO2",53.7544516666667
2019,"PM10",19.5296786098816
2019,"NO",7.6965875
2019,"NO2",39.0330820833333
2019,"NOx_NO2",50.8343504166667
2020,"PM10",18.2842273685516
2020,"NO",5.97557268907563
2020,"NO2",20.1544706722689
2020,"NOx_NO2",29.3168860504202
2021,"PM10",18.0344005461165
2021,"NO",14.3722825
2021,"NO2",26.1611277083333
2021,"NOx_NO2",48.198318125
2022,"PM10",19.2911917217761
2022,"NO",6.95897416666667
2022,"NO2",12.7127525
2022,"NOx_NO2",23.38302875
2023,"PM10",18.7272318461717
2023,"NO",8.45244083333333
2023,"NO2",17.48525875
2023,"NOx_NO2",30.4454870833333
